==== This output can be found in Systems/dx986/os/lscfg.txt ====
==== START lscfg Tue Jul  7 00:45:13 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk572         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L49000000000000  EMC Symmetrix FCP VRAID
* hdisk573         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L4A000000000000  EMC Symmetrix FCP VRAID
* hdisk574         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L4B000000000000  EMC Symmetrix FCP VRAID
* hdisk575         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L4C000000000000  EMC Symmetrix FCP VRAID
* hdisk576         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L4D000000000000  EMC Symmetrix FCP VRAID
* hdisk577         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L4E000000000000  EMC Symmetrix FCP VRAID
* hdisk578         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L4F000000000000  EMC Symmetrix FCP VRAID
* hdisk579         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L50000000000000  EMC Symmetrix FCP VRAID
* hdisk640         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L0               EMC Symmetrix FCP VRAID
* hdisk641         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk642         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L2000000000000   EMC Symmetrix FCP VRAID
* hdisk643         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L3000000000000   EMC Symmetrix FCP VRAID
* hdisk644         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L4000000000000   EMC Symmetrix FCP VRAID
* hdisk645         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L5000000000000   EMC Symmetrix FCP VRAID
* hdisk646         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L6000000000000   EMC Symmetrix FCP VRAID
* hdisk647         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L7000000000000   EMC Symmetrix FCP VRAID
* hdisk648         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L8000000000000   EMC Symmetrix FCP VRAID
* hdisk649         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L9000000000000   EMC Symmetrix FCP VRAID
* hdisk650         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-LA000000000000   EMC Symmetrix FCP VRAID
* hdisk651         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-LB000000000000   EMC Symmetrix FCP VRAID
* hdisk652         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-LC000000000000   EMC Symmetrix FCP VRAID
* hdisk653         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-LD000000000000   EMC Symmetrix FCP VRAID
* hdisk654         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-LF000000000000   EMC Symmetrix FCP VRAID
* hdisk655         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L10000000000000  EMC Symmetrix FCP VRAID
* hdisk656         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L11000000000000  EMC Symmetrix FCP VRAID
* hdisk657         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L12000000000000  EMC Symmetrix FCP VRAID
* hdisk658         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L13000000000000  EMC Symmetrix FCP VRAID
* hdisk659         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L14000000000000  EMC Symmetrix FCP VRAID
* hdisk660         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L15000000000000  EMC Symmetrix FCP VRAID
* hdisk661         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L16000000000000  EMC Symmetrix FCP VRAID
* hdisk662         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L17000000000000  EMC Symmetrix FCP VRAID
* hdisk663         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L18000000000000  EMC Symmetrix FCP VRAID
* hdisk664         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L19000000000000  EMC Symmetrix FCP VRAID
* hdisk665         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L1A000000000000  EMC Symmetrix FCP VRAID
* hdisk666         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L1B000000000000  EMC Symmetrix FCP VRAID
* hdisk667         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L1C000000000000  EMC Symmetrix FCP VRAID
* hdisk668         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L1D000000000000  EMC Symmetrix FCP VRAID
* hdisk669         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L1E000000000000  EMC Symmetrix FCP VRAID
* hdisk670         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L1F000000000000  EMC Symmetrix FCP VRAID
* hdisk671         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L20000000000000  EMC Symmetrix FCP VRAID
* hdisk672         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L21000000000000  EMC Symmetrix FCP VRAID
* hdisk673         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L22000000000000  EMC Symmetrix FCP VRAID
* hdisk674         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L23000000000000  EMC Symmetrix FCP VRAID
* hdisk675         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L0               EMC Symmetrix FCP VRAID
* hdisk676         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk677         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L2000000000000   EMC Symmetrix FCP VRAID
* hdisk678         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L3000000000000   EMC Symmetrix FCP VRAID
* hdisk679         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L4000000000000   EMC Symmetrix FCP VRAID
* hdisk680         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L5000000000000   EMC Symmetrix FCP VRAID
* hdisk681         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L6000000000000   EMC Symmetrix FCP VRAID
* hdisk682         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L7000000000000   EMC Symmetrix FCP VRAID
* hdisk683         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L8000000000000   EMC Symmetrix FCP VRAID
* hdisk684         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L9000000000000   EMC Symmetrix FCP VRAID
* hdisk685         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-LA000000000000   EMC Symmetrix FCP VRAID
* hdisk686         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-LB000000000000   EMC Symmetrix FCP VRAID
* hdisk687         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-LC000000000000   EMC Symmetrix FCP VRAID
* hdisk688         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-LD000000000000   EMC Symmetrix FCP VRAID
* hdisk689         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-LF000000000000   EMC Symmetrix FCP VRAID
* hdisk690         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L10000000000000  EMC Symmetrix FCP VRAID
