==== This output can be found in Systems/dx986/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:45:13 GST 2015 ====

System configuration: lcpu=32 drives=710 ent=3.60 paths=0 vdisks=10 maxserver=960

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
     16.4  0.0   177     0    131072            11.9   4.7   80.2      3.2   0.9   25.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk858         0.1      42.6       0.1   237621426  76663940
hdisk854         0.1      41.7       0.1   230665418  76843320
hdisk849         2.0     107.4       7.3   462574048  329413256
hdisk859         0.6     186.1       1.7   689663258  682145392
hdisk861         0.0      21.0       0.1   100799421  53797868
hdisk850         2.0     108.1       7.3   465796425  331383184
hdisk862         0.0      21.0       0.1   100702940  53864788
hdisk851         0.1      42.5       0.1   236689052  76685812
hdisk842         0.1      54.6       0.1   398150369   4324912
hdisk865         0.0       2.5       0.0   17930371    242872
hdisk857         0.1      42.5       0.1   237530254  76080772
hdisk852         0.1      42.4       0.1   235683425  77219592
hdisk860         0.6     186.2       1.7   690009727  682357224
hdisk846         2.0     108.1       7.3   460478801  336201788
hdisk864         0.0       0.0       0.0         14      6928
hdisk868         0.1      62.6       0.3   153376740  308044592
hdisk867         0.0       1.9       0.0   13497310    237640
hdisk863         0.0       0.0       0.0      14850      8372
hdisk866         0.0       5.5       0.2   32954944   7552324
hdisk869         0.1      62.5       0.3   153706692  307257390
hdisk10          0.0       0.1       0.0     432030    166856
hdisk161         0.0       0.2       0.0    1093009     73424
hdisk162         0.0       0.2       0.0    1054548     72916
hdisk163         0.0       0.2       0.0    1046556     74656

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk453         0.0       0.0       0.0          4         0
hdisk166         0.0       0.2       0.0    1442968    176216
hdisk165         0.0       0.2       0.0    1450624    191096
hdisk452         0.0       0.0       0.0     107163         0
hdisk454         0.0       0.0       0.0         12         0
hdisk457         0.0       0.0       0.0          8     18088
hdisk164         0.0       0.2       0.0    1061172     84620
hdisk462         0.0       0.0       0.0        136         0
hdisk456         0.0       0.0       0.0          4         0
hdisk458         0.0       0.0       0.0        152         0
hdisk465         0.0       0.0       0.0          4         0
hdisk460         0.0       0.0       0.0         28         0
hdisk466         0.0       0.0       0.0          4         0
hdisk463         0.0       0.0       0.0          4         0
hdisk455         0.0       0.0       0.0         20         0
hdisk461         0.0       0.0       0.0         72         0
hdisk467         0.0       0.0       0.0          4         0
hdisk459         0.0       0.0       0.0        196         0
hdisk581         0.0       0.0       0.0          4         0
hdisk468         0.0       0.0       0.0          4         0
