==== This output can be found in Systems/dx976/os/errpt.txt ====
==== START errpt Tue Jul  7 13:04:01 CDT 2015 ====
C6E26F3B   0507215415 I H hdisk148       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk35        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk31        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk144       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk37        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk146       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk33        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk147       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk34        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk150       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk32        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk143       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk30        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk145       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk28        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk142       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk149       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk36        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk141       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk29        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk27        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk140       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk26        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507215415 I H hdisk139       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk2         BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk115       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk12        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk124       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk11        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk125       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk7         BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk122       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk126       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk8         BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk121       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk6         BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk123       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk10        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk13        BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk119       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk9         BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk117       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk4         BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk120       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk5         BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk118       BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk3         BACK-UP PATH STATUS CHANGE
C6E26F3B   0507205615 I H hdisk116       BACK-UP PATH STATUS CHANGE
3767AAFF   0507205415 I H hdisk35        BACK-UP PATH INOPERATIVE
516A2BC4   0507205415 P H hdisk35        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk31        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk37        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk33        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk34        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk32        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk30        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk28        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk36        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk29        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk27        CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk26        CONNECTION FAILURE
3767AAFF   0507205415 I H hdisk148       BACK-UP PATH INOPERATIVE
516A2BC4   0507205415 P H hdisk148       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk144       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk146       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk147       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk150       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk143       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk145       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk142       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk149       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk141       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk140       CONNECTION FAILURE
516A2BC4   0507205415 P H hdisk139       CONNECTION FAILURE
D5676F6F   0507205415 T H fscsi7         ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0507205415 T H fscsi3         ATTACHED SCSI TARGET DEVICE ERROR
3767AAFF   0507195115 I H hdisk12        BACK-UP PATH INOPERATIVE
516A2BC4   0507195115 P H hdisk12        CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk11        CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk7         CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk8         CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk6         CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk10        CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk13        CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk9         CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk4         CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk5         CONNECTION FAILURE
