==== This output can be found in Systems/dx979/os/lsdev-^C.txt ====
==== START lsdev -C Tue Jul  7 00:29:34 GST 2015 ====
hdisk197       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk198       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk199       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk200       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk201       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk202       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk203       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk204       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk205       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk206       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk207       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk208       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk209       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk210       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk211       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk212       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk213       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk214       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk215       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk216       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk217       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk218       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk219       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk220       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk221       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk222       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk223       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk224       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk225       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk226       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk227       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk228       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk229       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk230       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk231       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk232       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk233       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk234       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk235       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk236       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk237       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk238       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk239       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk240       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk241       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk242       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk243       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk244       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk245       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk246       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk247       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk248       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk249       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk250       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk251       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk252       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk253       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk254       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk255       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk256       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk257       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk258       Available 28-T1-01    EMC Symmetrix FCP VRAID
