==== This output can be found in Systems/dx979/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:29:24 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      4.7  0.0   469     0    131072             2.3   1.0   94.4      2.3   0.3    5.1

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk422         0.1       2.7       0.1   22862803   6345872
hdisk183         0.0       8.4       0.0   91693143     15580
hdisk179         0.0       0.0       0.0        776         0
hdisk181         0.0       0.2       0.0    1279680    580316
hdisk182         0.0       8.4       0.0   91653964         4
hdisk186         2.2     378.5       0.8   4128485293  11552564
hdisk185         2.1     316.6       0.7   3450438390  12141708

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk187         2.0     291.8       0.7   3179407124  12016664
hdisk184         2.0     303.3       0.7   3305420993  12341368
hdisk188         2.4     561.3       1.0   6127410452  12111016
hdisk193         2.1     316.7       0.8   3450928832  12782720
hdisk190         1.9     255.6       0.7   2783985725  12086088
hdisk195         2.0     291.7       0.8   3178689585  12547528
hdisk194         2.2     349.7       0.8   3811974500  12665344
hdisk189         2.1     341.4       0.8   3722579801  11813148
hdisk191         2.1     321.5       0.8   3504082669  12633164
hdisk192         2.0     282.6       0.7   3078246042  12601996
hdisk197         2.3     425.8       0.9   4643820475  13276732
hdisk196         2.2     374.9       0.8   4088378264  12418964
hdisk198         2.4     469.1       0.9   5118432196  12696912
hdisk199         2.0     308.9       0.7   3366013293  12389896
hdisk202         1.4      21.1       1.2   134958861  95731156
hdisk201         1.4      21.2       1.2   133719356  98507196
hdisk203         1.3      21.2       1.2   134377046  97492132
hdisk204         1.4      21.3       1.2   134806917  97990468
hdisk200         1.3      21.0       1.2   133185239  96724484
hdisk205         1.3      21.1       1.2   133568964  97275044
hdisk208         0.2      58.5       0.1   479722801  160688284
hdisk207         0.2      58.4       0.1   478145294  160722264
hdisk206         0.2      58.5       0.1   479019419  161377980
hdisk212         0.0       0.4       0.1     191092   3656904

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk214         0.0       0.0       0.0      30263         4
hdisk211         0.2      58.5       0.1   479422582  160082780
hdisk209         0.2      58.7       0.1   481849198  160673792
hdisk365         0.0       2.0       0.0   10976929  11259888
hdisk366         0.0       0.0       0.0      67816         4
hdisk213         0.0       0.3       0.0     131947   3162216
hdisk216         0.2      20.4       0.2   111138507  112184092
hdisk217         0.2      20.4       0.2   110531949  112472328
hdisk364         0.0       2.0       0.0   10681231  10972680
hdisk371         0.0       0.0       0.0       1061         0
hdisk370         0.0       0.0       0.0       1063         0
hdisk372         0.0       0.0       0.0       1071     15424
hdisk374         0.0       0.0       0.0       1059         0
hdisk428         0.0       1.1       0.0   12142195    132408
hdisk430         0.0       1.1       0.0   11764772    455628
hdisk429         0.1       2.7       0.1   23270142   6362260
hdisk368         0.0       0.0       0.0       1052         0
hdisk3           0.1       0.1       0.0     595641    145304
hdisk14          0.0       0.2       0.0    1202430    583540
hdisk219         2.1     316.0       0.7   3444078824  12169544
hdisk367         0.0       0.0       0.0       1068         0
hdisk20          0.0       8.0       0.0   87856181         4
hdisk218         2.0     302.8       0.7   3299610709  12312020
hdisk369         0.0       0.0       0.0       1058         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk21          0.0       8.0       0.0   87635785     15104
hdisk224         1.9     255.1       0.7   2777718949  12206972
hdisk221         2.0     291.4       0.7   3175139865  12086496
hdisk223         2.1     339.9       0.8   3706216765  11893284
hdisk215         0.0       0.0       0.0        934     15216
hdisk222         2.4     558.8       1.0   6100160877  12078868
hdisk373         0.0       0.0       0.0       1048         0
hdisk11          0.2       1.2       0.1      27314  12833868
