==== This output can be found in Systems/dx975/os/lscfg.txt ====
==== START lscfg Tue Jul  7 12:46:25 CDT 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                           System Object
+ sysplanar0                                                                     System Planar
* vio0                                                                           Virtual I/O Bus
+ sissas1          U2C4E.001.DBJ0043-P2-C9-T1                                    PCI Express x8 Planar 3Gb SAS Adapter
* sas1             U2C4E.001.DBJ0043-P2-C9-T1                                    Controller SAS Protocol
* sfwcomm17                                                                      SAS Storage Framework Comm
+ ses1             U2C4E.001.DBJ0043-P2-C9-Y2                                    SAS Enclosure Services Device
+ ses2             U2C4E.001.DBJ0043-P2-C9-Y1                                    SAS Enclosure Services Device
+ pdisk0           U2C4E.001.DBJ0043-P2-C9-D1                                    Physical SAS Solid State Drive
* hdisk0           U2C4E.001.DBJ0043-P2-C9-T1-LFF0200-L0                         SAS RAID 0 SSD Array
* sata1            U2C4E.001.DBJ0043-P2-C9-T1                                    Controller SATA Protocol
* pci3             U2C4E.001.DBJ0043-P2                                          PCI Express Bus
* pci12            U2C4E.001.DBJ0043-P2-C1                                       PCI Express Bus
* pci13            U2C4E.001.DBJ0043-P2-C1                                       PCI Express Bus
* pci14            U2C4E.001.DBJ0043-P2-C1                                       PCI Express Bus
+ fcs6             U2C4E.001.DBJ0043-P2-C1-T1                                    PCIe2 4-Port 8Gb FC Adapter (df1000f114100104)
* fcnet4           U2C4E.001.DBJ0043-P2-C1-T1                                    Fibre Channel Network Protocol Device
+ fscsi6           U2C4E.001.DBJ0043-P2-C1-T1                                    FC SCSI I/O Controller Protocol Device
* hdisk115         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L0               EMC Symmetrix FCP VRAID
* hdisk116         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk117         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L2000000000000   EMC Symmetrix FCP VRAID
* hdisk118         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L3000000000000   EMC Symmetrix FCP VRAID
* hdisk119         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L4000000000000   EMC Symmetrix FCP VRAID
* hdisk120         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L5000000000000   EMC Symmetrix FCP VRAID
* hdisk121         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L6000000000000   EMC Symmetrix FCP VRAID
* hdisk122         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L7000000000000   EMC Symmetrix FCP VRAID
* hdisk123         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L8000000000000   EMC Symmetrix FCP VRAID
* hdisk124         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-L9000000000000   EMC Symmetrix FCP VRAID
* hdisk125         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-LA000000000000   EMC Symmetrix FCP VRAID
* hdisk126         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D550-LB000000000000   EMC Symmetrix FCP VRAID
* hdisk127         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L0               EMC Symmetrix FCP VRAID
* hdisk128         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk129         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L2000000000000   EMC Symmetrix FCP VRAID
* hdisk130         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L3000000000000   EMC Symmetrix FCP VRAID
* hdisk131         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L4000000000000   EMC Symmetrix FCP VRAID
