==== This output can be found in Systems/dx977/os/ps_auxw.txt ====
==== START ps auxw Tue Jul  7 00:09:50 GST 2015 ====
USER          PID %CPU %MEM   SZ  RSS    TTY STAT    STIME  TIME COMMAND
oracle    1771784  0.0  0.0 195388 166728      - A    23:47:44  0:02 oracleGSM (LOCAL=NO) 
oracle   27789030  0.0  0.0  448  448      - A    19:43:43  0:24 aioserver
oracle   15663908  0.0  0.0 198396 169736      - A    06:57:15  1:33 ora_p013_GSM 
oracle   55640324  0.0  0.0 198204 169544      - A    06:57:15  1:33 ora_p017_GSM 
oracle   61014146  0.0  0.0 195388 166728      - A    23:47:30  0:02 oracleGSM (LOCAL=NO) 
oracle   25952516  0.0  0.0 195388 166728      - A    23:47:29  0:02 oracleGSM (LOCAL=NO) 
oracle   24969328  0.0  0.0 195388 166728      - A    23:47:27  0:02 oracleGSM (LOCAL=NO) 
oracle   36438440  0.0  0.0 195388 166728      - A    23:47:26  0:02 oracleGSM (LOCAL=NO) 
oracle    7013572  0.0  0.0 195388 166728      - A    23:47:24  0:02 oracleGSM (LOCAL=NO) 
oracle   21233898  0.0  0.0 195388 166728      - A    23:47:23  0:02 oracleGSM (LOCAL=NO) 
oracle   27722286  0.0  0.0 195388 166728      - A    23:47:19  0:02 oracleGSM (LOCAL=NO) 
oracle   14026392  0.0  0.0 195388 166728      - A    23:47:18  0:02 oracleGSM (LOCAL=NO) 
oracle   30933576  0.0  0.0 195388 166728      - A    23:47:17  0:02 oracleGSM (LOCAL=NO) 
oracle   39781982  0.0  0.0 195388 166728      - A    23:47:17  0:02 oracleGSM (LOCAL=NO) 
oracle   29230156  0.0  0.0 195388 166728      - A    23:47:17  0:02 oracleGSM (LOCAL=NO) 
oracle   17105266  0.0  0.0  448  448      - A    16:26:01  0:41 aioserver
oracle   48366114  0.0  0.0 201276 172616      - A    02:10:54  1:56 oracleGSM (LOCAL=NO) 
oracle   48890338  0.0  0.0 198204 169544      - A    06:57:15  1:30 ora_p016_GSM 
oracle   57737720  0.0  0.0 199228 170568      - A      Jul 05  2:14 oracleGSM (LOCAL=NO) 
oracle   52560430  0.0  0.0 198588 169928      - A      Jul 05  2:13 oracleGSM (LOCAL=NO) 
oracle   55574660  0.0  0.0 198140 169480      - A    06:57:15  1:28 ora_p014_GSM 
oracle   55967946  0.0  0.0 198332 169672      - A    06:57:15  1:27 ora_p012_GSM 
oracle   13173238  0.0  0.0  448  448      - A    16:26:01  0:39 aioserver
oracle   37224582  0.0  0.0  448  448      - A    16:26:01  0:39 aioserver
oracle   43516430  0.0  0.0 199228 170568      - A      Jul 05  2:05 oracleGSM (LOCAL=NO) 
oracle   10617582  0.0  0.0  448  448      - A    16:26:01  0:36 aioserver
oracle   11142450  0.0  0.0  448  448      - A    16:26:01  0:35 aioserver
oracle   22021312  0.0  0.0  448  448      - A    16:26:01  0:35 aioserver
oracle   13173862  0.0  0.0 197372 168712      - A    23:42:51  0:02 oracleGSM (LOCAL=NO) 
oracle    2033314  0.0  0.0 198268 169608      - A    23:42:45  0:02 oracleGSM (LOCAL=NO) 
oracle    5571938  0.0  0.0 198332 169672      - A    23:42:44  0:02 oracleGSM (LOCAL=NO) 
oracle   13894532  0.0  0.0 198332 169672      - A    23:42:43  0:02 oracleGSM (LOCAL=NO) 
oracle   40108294  0.0  0.0 198332 169672      - A    23:42:40  0:02 oracleGSM (LOCAL=NO) 
oracle   14483552  0.0  0.0 198268 169608      - A    23:42:38  0:02 oracleGSM (LOCAL=NO) 
oracle   13828532  0.0  0.0 198332 169672      - A    23:42:35  0:02 oracleGSM (LOCAL=NO) 
oracle   58261754  0.0  0.0  448  448      - A    16:26:01  0:34 aioserver
oracle    9241624  0.0  0.0  448  448      - A    16:26:01  0:34 aioserver
oracle   13173382  0.0  0.0  448  448      - A    19:08:31  0:22 aioserver
oracle   36700872  0.0  0.0 195836 167176      - A    23:42:03  0:02 oracleGSM (LOCAL=NO) 
oracle   56951372  0.0  0.0 195900 167240      - A    23:41:57  0:02 oracleGSM (LOCAL=NO) 
oracle   56819958  0.0  0.0 195772 167112      - A    23:41:53  0:02 oracleGSM (LOCAL=NO) 
oracle    6226178  0.0  0.0 198716 170056      - A      Jul 05  1:49 oracleGSM (LOCAL=NO) 
root      5439572  0.0  0.0 4708 5096      - A      Apr 01 153:58 /usr/sbin/rsct/bin/IBM.HostRMd 
oracle   29623006  0.0  0.0  448  448      - A    19:52:35  0:17 aioserver
oracle    5440716  0.0  0.0 199036 170376      - A    23:54:42  0:01 oracleGSM (LOCAL=NO) 
oracle    5898768  0.0  0.0 201596 170952      - A      Apr 02 150:35 ora_mmon_GSM 
oracle   17498398  0.0  0.0  448  448      - A      Jul 04  3:28 aioserver
oracle   50397910  0.0  0.0  448  448      - A    16:26:01  0:30 aioserver
oracle    1376818  0.0  0.0 198972 170312      - A      Jul 05  1:40 oracleGSM (LOCAL=NO) 
oracle   44500614  0.0  0.0  448  448      - A    19:43:43  0:17 aioserver
oracle   19333538  0.0  0.0 201212 172552      - A    02:11:05  1:24 oracleGSM (LOCAL=NO) 
oracle    5505658  0.0  0.0  448  448      - A      Jul 04  3:12 aioserver
oracle   22414992  0.0  0.0  448  448      - A      Jul 04  3:02 aioserver
oracle    8388878  0.0  0.0 201276 172616      - A      Jul 05  1:37 oracleGSM (LOCAL=NO) 
oracle   57018004  0.0  0.0  448  448      - A      Jul 04  3:15 aioserver
oracle   24707766  0.0  0.0  448  448      - A      Jul 05  2:40 aioserver
oracle   53084450  0.0  0.0 199228 170568      - A      Jul 05  1:34 oracleGSM (LOCAL=NO) 
oracle   41419072  0.0  0.0  448  448      - A      Jul 04  3:01 aioserver
oracle   36831664  0.0  0.0  448  448      - A      Jul 05  2:55 aioserver
oracle       1272  0.0  0.0  448  448      - A    16:26:01  0:28 aioserver
oracle   43057806  0.0  0.0  448  448      - A    16:26:01  0:28 aioserver
oracle   25428348  0.0  0.0  448  448      - A      Jul 05  2:40 aioserver
root       983078  0.0  0.0  448  448      - A      Apr 01 138:53 xmgc
oracle    2688680  0.0  0.0  448  448      - A    19:43:43  0:16 aioserver
oracle   27198618  0.0  0.0  448  448      - A      Jul 05  2:39 aioserver
oracle    3409448  0.0  0.0  448  448      - A      Jul 04  3:07 aioserver
oracle    4195860  0.0  0.0  448  448      - A      Jul 05  2:33 aioserver
oracle   10880118  0.0  0.0  448  448      - A      Jul 05  2:37 aioserver
oracle   19595508  0.0  0.0 198524 169864      - A    12:25:16  0:41 oracleGSM (LOCAL=NO) 
oracle   65798580  0.0  0.0  448  448      - A      Jul 05  2:37 aioserver
oracle   42141244  0.0  0.0  448  448      - A      Jul 05  2:43 aioserver
oracle   53805348  0.0  0.0  448  448      - A      Jul 04  2:52 aioserver
oracle   15335532  0.0  0.0 199292 170632      - A      Jul 05  1:30 oracleGSM (LOCAL=NO) 
oracle   37618156  0.0  0.0 198972 170312      - A      Jul 05  1:29 oracleGSM (LOCAL=NO) 
oracle   23790262  0.0  0.0  448  448      - A      Jul 05  2:44 aioserver
oracle    7931566  0.0  0.0  448  448      - A      Jul 05  2:42 aioserver
oracle   59311752  0.0  0.0  448  448      - A      Jul 05  2:36 aioserver
oracle   32704136  0.0  0.0 198524 169864      - A      Jul 05  1:28 oracleGSM (LOCAL=NO) 
oracle   21954620  0.0  0.0  448  448      - A      Jul 05  2:24 aioserver
oracle    5177950  0.0  0.0  448  448      - A      Jul 05  2:28 aioserver
oracle   60490244  0.0  0.0  448  448      - A      Jul 05  2:19 aioserver
oracle   46596518  0.0  0.0  448  448      - A    16:26:01  0:26 aioserver
oracle    7471470  0.0  0.0 210236 179336      - A      Apr 02 127:19 ora_ckpt_GSM 
oracle   65864306  0.0  0.0  448  448      - A      Jul 05  2:22 aioserver
oracle   19268000  0.0  0.0  448  448      - A      Jul 05  2:17 aioserver
oracle   29229146  0.0  0.0 198396 169736      - A    02:11:00  1:13 oracleGSM (LOCAL=NO) 
oracle   51249710  0.0  0.0 200444 171784      - A    06:57:15  0:57 ora_p010_GSM 
oracle   39323172  0.0  0.0 200444 171784      - A    06:57:15  0:57 ora_p008_GSM 
oracle    7079630  0.0  0.0 200444 171784      - A    06:57:15  0:57 ora_p011_GSM 
oracle   23922264  0.0  0.0  448  448      - A      Jul 05  2:15 aioserver
oracle   50725526  0.0  0.0  448  448      - A      Jul 05  2:34 aioserver
oracle   37290444  0.0  0.0 198652 169992      - A      Jul 05  1:25 oracleGSM (LOCAL=NO) 
oracle   14353980  0.0  0.0  448  448      - A      Jul 05  2:25 aioserver
oracle   32573120  0.0  0.0  448  448      - A      Jul 05  2:27 aioserver
oracle   27853280  0.0  0.0 201212 172552      - A    02:10:50  1:12 oracleGSM (LOCAL=NO) 
oracle   34341310  0.0  0.0  448  448      - A      Jul 05  2:15 aioserver
root          264  0.0  0.0  448  448      - A      Apr 01 125:33 swapper
oracle   58261796  0.0  0.0  448  448      - A      Jul 04  2:45 aioserver
oracle   22742732  0.0  0.0  448  448      - A      Jul 05  2:14 aioserver
oracle   12780668  0.0  0.0  448  448      - A      Jul 05  2:26 aioserver
oracle   17301902  0.0  0.0  448  448      - A      Jul 05  2:21 aioserver
oracle    9437918  0.0  0.0  448  448      - A      Jul 05  2:13 aioserver
oracle   26084970  0.0  0.0 194748 166088      - A    22:00:00  0:07 ora_vkrm_GSM 
oracle   27787774  0.0  0.0  448  448      - A      Jul 05  2:17 aioserver
oracle    7996802  0.0  0.0  448  448      - A      Jul 05  2:13 aioserver
oracle    4194602  0.0  0.0  448  448      - A      Jul 05  2:25 aioserver
oracle   39846084  0.0  0.0  448  448      - A      Jul 05  2:14 aioserver
oracle   18416102  0.0  0.0  448  448      - A      Jul 05  2:20 aioserver
oracle   21038166  0.0  0.0  448  448      - A      Jul 05  2:12 aioserver
oracle   46989732  0.0  0.0 200380 171720      - A    06:57:15  0:55 ora_p009_GSM 
oracle    5898414  0.0  0.0  448  448      - A      Jul 05  2:28 aioserver
oracle   39584082  0.0  0.0  448  448      - A      Jul 05  2:11 aioserver
oracle   19990196  0.0  0.0  448  448      - A      Jul 05  2:11 aioserver
oracle    9240734  0.0  0.0  448  448      - A      Jul 05  2:19 aioserver
oracle   44171838  0.0  0.0  448  448      - A      Jul 05  2:10 aioserver
oracle   59113700  0.0  0.0  448  448      - A      Jul 05  2:16 aioserver
oracle   19136946  0.0  0.0  448  448      - A      Jul 05  2:15 aioserver
oracle   38666546  0.0  0.0  448  448      - A      Jul 04  2:40 aioserver
