==== This output can be found in Systems/dx977/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Tue Jul  7 00:10:21 GST 2015 ====
516A2BC4   0508035115 P H hdisk138       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk189       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk128       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk718       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk752       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk192       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk135       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk155       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk140       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk121       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk137       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk744       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk13        CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk154       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk581       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk180       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk637       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk148       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk160       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk147       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk145       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk157       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk167       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk141       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk639       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk149       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk144       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk172       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk692       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk638       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk132       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk127       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk699       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk176       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk691       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk161       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk142       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk181       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk130       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk126       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk636       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk579       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk2         DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk150       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk131       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk694       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk2         DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk119       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk695       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk693       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk118       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk179       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk698       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk696       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk133       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk171       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk124       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk192       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk134       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk697       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk201       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk168       DISK OPERATION ERROR
