==== This output can be found in Systems/dx980/os/iostat-^A.txt ====
==== START iostat -A Mon Jul  6 23:13:03 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      0.0  0.0   790     0    131072             0.0   0.1   99.8      0.0   0.0    0.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk406         0.0       1.1       0.0    7874553      2920
hdisk420         0.0       0.0       0.0      53584     31576

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk419         0.0       0.0       0.0      47756     29736
hdisk416         0.0       0.0       0.0      65749     31000
hdisk418         0.0       0.0       0.0      52504     27912
hdisk421         0.0       0.0       0.0      51252     30952
hdisk424         0.0       0.0       0.0        824    106524
hdisk415         0.0       1.3       0.0    9752220       360
hdisk425         0.0       0.0       0.0        780    110596
hdisk426         0.0       0.0       0.0        776     59392
hdisk423         0.0       0.0       0.0        792     51216
hdisk429         0.0       0.0       0.0        784        12
hdisk431         0.0       0.0       0.0        780        16
hdisk430         0.0       0.0       0.0       3023        12
hdisk432         0.0       0.0       0.0       3873     31576
hdisk434         0.0       0.0       0.0       3501        28
hdisk417         0.0       0.0       0.0      49752     29776
hdisk422         0.0       0.0       0.0       5209     45096
hdisk435         0.0       0.0       0.0        828         0
hdisk427         0.0       0.0       0.0        792     37924
hdisk436         0.0       0.0       0.0       3082         4
hdisk433         0.0       0.0       0.0       1016     35052
hdisk438         0.0       0.0       0.0        776         0
hdisk440         0.0       0.0       0.0        776         0
hdisk428         0.0       0.0       0.0       4524         8
hdisk437         0.0       0.0       0.0        776         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk439         0.0       0.0       0.0        776         0
hdisk442         0.0       0.0       0.0        792        12
hdisk441         0.0       0.0       0.0        776         0
hdisk444         0.0       0.0       0.0        776         0
hdisk445         0.0       0.0       0.0       8869       100
hdisk443         0.0       0.0       0.0       1289         0
hdisk446         0.0       0.0       0.0       6736      4900
hdisk447         0.0       0.0       0.0        896       180
hdisk236         0.0       0.6       0.1       3676   4733476
hdisk453         0.0       0.0       0.0         26         0
hdisk239         0.0       0.0       0.0      27487       836
hdisk240         0.0       0.0       0.0       2614         4
hdisk238         0.0       0.1       0.0     360905    145219
hdisk454         0.0       0.0       0.0         26         0
hdisk244         0.0       1.8       0.0   13500663      3864
hdisk242         0.0       1.4       0.0    9968903      2476
hdisk241         0.0       0.0       0.0        789        24
hdisk243         0.0       1.4       0.0   10292000      3184
hdisk237         0.0       0.0       0.0        777         0
hdisk248         0.0       1.1       0.0    7762168      3112
hdisk246         0.0       2.9       0.0   21190592      4416
hdisk245         0.0       1.3       0.0    9652256      5256
hdisk249         0.0       1.3       0.0    9922864       496
hdisk247         0.0       1.5       0.0   11294891      3648

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk250         0.0       1.2       0.0    8684216       728
hdisk254         0.0       1.7       0.0   12663136      1752
hdisk258         0.0       0.0       0.0      51999     32460
hdisk252         0.0       1.8       0.0   12910596      3344
hdisk255         0.0       1.8       0.0   13369237      2000
hdisk251         0.0       1.4       0.0   10473788      2256
hdisk256         0.0       2.1       0.0   15703909      1220
hdisk253         0.0       1.4       0.0   10412224       424
hdisk265         0.0       0.0       0.0        793     79908
hdisk259         0.0       0.0       0.0      49116     31192
hdisk264         0.0       0.0       0.0       1884     51232
hdisk257         0.0       1.3       0.0    9850769       480
hdisk266         0.0       0.0       0.0        865    156744
hdisk267         0.0       0.0       0.0        793     97292
hdisk262         0.0       0.0       0.0      51261     32040
hdisk268         0.0       0.0       0.0        781     63488
hdisk263         0.0       0.0       0.0      50436     33392
hdisk270         0.0       0.0       0.0       1847         4
hdisk271         0.0       0.0       0.0        793        24
hdisk277         0.0       0.0       0.0        837         8
hdisk272         0.0       0.0       0.0       1475         4
hdisk269         0.0       0.0       0.0        788     30748
hdisk261         0.0       0.0       0.0      49148     30896
hdisk282         0.0       0.0       0.0        780         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk280         0.0       0.0       0.0        784         0
hdisk278         0.0       0.0       0.0       2200         4
hdisk283         0.0       0.0       0.0        780         0
hdisk284         0.0       0.0       0.0        797        20
hdisk260         0.0       0.0       0.0      49352     29576
hdisk273         0.0       0.0       0.0        789        24
hdisk275         0.0       0.0       0.0       1052     35552
hdisk281         0.0       0.0       0.0        780         0
hdisk287         0.0       0.0       0.0       2048        92
hdisk274         0.0       0.0       0.0       1717     29076
hdisk288         0.0       0.0       0.0       6888      5148
hdisk286         0.0       0.0       0.0        784         0
hdisk11          0.0       0.6       0.1       3736   4680584
hdisk276         0.0       0.0       0.0       1661        32
hdisk289         0.0       0.0       0.0        935       344
hdisk285         0.0       0.0       0.0        780         0
hdisk290         0.0       1.4       0.0   10040194      2928
hdisk279         0.0       0.0       0.0        788         4
hdisk3           0.0       0.1       0.0     374161    146129
hdisk292         0.0       1.8       0.0   13557644      2924
hdisk20          0.0       0.0       0.0       1492         8
hdisk293         0.0       1.3       0.0    9381796      4456
hdisk14          0.0       0.0       0.0      27958       712
hdisk295         0.0       1.5       0.0   11083395      3564

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk2           0.0       0.0       0.0        778         0
hdisk294         0.0       2.9       0.0   21083624      3736
hdisk21          0.0       0.0       0.0        784        20
hdisk291         0.0       1.4       0.0   10355715      2928
hdisk300         0.0       1.7       0.0   12760896      3456
hdisk297         0.0       1.3       0.0    9893004       992
hdisk301         0.0       1.4       0.0   10368059       408
hdisk298         0.0       1.2       0.0    8921725      1208
hdisk296         0.0       1.1       0.0    7782860      2536
hdisk303         0.0       1.8       0.0   13537392      3944
hdisk306         0.0       0.0       0.0      56625     32208
hdisk299         0.0       1.4       0.0   10368220      2388
hdisk305         0.0       1.3       0.0    9589748       408
hdisk304         0.0       2.2       0.0   16119588       908
hdisk307         0.0       0.0       0.0      48416     31704
hdisk309         0.0       0.0       0.0      47719     29392
hdisk302         0.0       1.7       0.0   12159573      2336
hdisk314         0.0       0.0       0.0        840    135192
hdisk312         0.0       0.0       0.0       2793     61480
hdisk313         0.0       0.0       0.0        816     59412
hdisk315         0.0       0.0       0.0        789    112640
hdisk317         0.0       0.0       0.0        794     36952
hdisk311         0.0       0.0       0.0      52436     34280
hdisk316         0.0       0.0       0.0        784     64512

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk308         0.0       0.0       0.0      50800     30776
hdisk320         0.0       0.0       0.0       3091         8
hdisk323         0.0       0.0       0.0       1065     33760
hdisk325         0.0       0.0       0.0        832         0
hdisk322         0.0       0.0       0.0       1388     30932
hdisk324         0.0       0.0       0.0       3289        32
hdisk310         0.0       0.0       0.0      51295     32588
hdisk329         0.0       0.0       0.0        784         0
hdisk326         0.0       0.0       0.0       2739         0
hdisk331         0.0       0.0       0.0        786         0
hdisk333         0.0       0.0       0.0        787         0
hdisk332         0.0       0.0       0.0        797        16
hdisk334         0.0       0.0       0.0        780         0
hdisk327         0.0       0.0       0.0        785         4
hdisk336         0.0       0.0       0.0       7144      5640
hdisk318         0.0       0.0       0.0       2805         4
hdisk335         0.0       0.0       0.0       4323       124
hdisk321         0.0       0.0       0.0        793        24
hdisk340         0.0       0.0       0.0     114863    123646
hdisk337         0.0       0.0       0.0       1359       308
hdisk341         0.0       0.0       0.0     115854    109069
hdisk339         0.0       0.0       0.0     113859    116102
hdisk338         0.0       0.0       0.0     156105    124036
hdisk319         0.0       0.0       0.0        793        28

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk328         0.0       0.0       0.0        780         0
hdisk330         0.0       0.0       0.0        784         0
hdiskpower1      0.0       1.0       0.3    6403273   1172110
hdiskpower0      0.0       0.0       0.0        777         0
hdiskpower2      0.1       5.2       0.7     502683  37632008
hdiskpower3      0.0       0.1       0.0     392607      5612
hdiskpower4      0.0       0.0       0.0     221143        48
hdiskpower5      0.0       0.0       0.0       1773       144
hdiskpower6      0.0       0.2       0.0     774606    472838
hdiskpower7      0.0       0.1       0.0     452436    468226
hdiskpower8      0.0       0.1       0.0     452312    465799
hdiskpower9      0.0       0.1       0.0     457526    464929
hdiskpower10     0.0      11.5       0.0   84956675     19712
hdiskpower11     0.0      11.2       0.0   82520876     26800
hdiskpower12     0.0      14.7       0.0   108263140     25324
hdiskpower13     0.0      10.2       0.0   75042508     45144
hdiskpower14     0.0      23.1       0.0   170450528     29280
hdiskpower15     0.0      12.2       0.0   89795804     26976
hdiskpower16     0.0       8.5       0.0   62437456     21512
hdiskpower17     0.0      10.8       0.0   79252392      6864
hdiskpower18     0.0       9.5       0.0   70021448      8480
hdiskpower19     0.0      11.4       0.0   83863224     20976
hdiskpower20     0.0      14.0       0.0   102912392     29056
hdiskpower21     0.0      11.2       0.0   82664772      3520

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdiskpower22     0.0      13.6       0.0   100200296     19344
hdiskpower23     0.0      14.7       0.0   108209080     21904
hdiskpower24     0.0      17.4       0.0   127940976     10252
hdiskpower25     0.0      10.5       0.0   77658252      3924
hdiskpower26     0.0       0.3       0.0    1656543    251508
hdiskpower27     0.0       0.1       0.0     384257    243228
hdiskpower28     0.0       0.1       0.0     388473    233792
hdiskpower29     0.0       0.1       0.0     370949    237528
hdiskpower30     0.0       0.1       0.0     403785    252244
hdiskpower31     0.0       0.1       0.0     401221    261264
hdiskpower32     0.0       0.1       0.0     418947    492840
hdiskpower33     0.0       0.1       0.0       1940    524504
hdiskpower34     0.0       0.1       0.0       2212   1014048
hdiskpower35     0.0       0.1       0.0       1836    792288
hdiskpower36     0.0       0.1       0.0       1808    524288
hdiskpower37     0.0       0.0       0.0       1904    271208
hdiskpower38     0.0       0.0       0.0     221143        48
hdiskpower39     0.0       0.0       0.0       1765       144
hdiskpower40     0.0       0.0       0.0     221163        60
hdiskpower41     0.0       0.0       0.0       1745       136
hdiskpower42     0.0       0.1       0.0     223687    240468
hdiskpower43     0.0       0.0       0.0       3677    275868
hdiskpower44     0.0       0.0       0.0     222419       192
hdiskpower45     0.0       0.0       0.0       2081        20

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdiskpower46     0.0       0.1       0.0     558915        40
