==== This output can be found in Systems/dx978/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Mon Jul  6 23:29:55 GST 2015 ====
516A2BC4   0508024415 P H hdisk564       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk21        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk636       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk93        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk32        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk577       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk22        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk565       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk34        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk578       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk35        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk581       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk38        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk582       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk637       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk94        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk39        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk583       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk40        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk584       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk41        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk585       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk42        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk587       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk36        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk588       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk43        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk579       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk638       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk95        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk586       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk44        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk45        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk589       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk639       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk96        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk560       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk16        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk46        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk590       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk47        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk591       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk48        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk592       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk49        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk593       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk50        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk594       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk51        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk595       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk52        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk596       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk53        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk597       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk54        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk598       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk55        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk599       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk56        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk600       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk57        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk601       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk557       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk12        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk58        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk602       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk59        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk603       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk60        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk604       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk61        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk605       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk9         CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk555       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk62        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk606       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk63        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk607       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk33        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk576       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk64        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk608       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk65        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk609       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk66        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk610       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk611       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk68        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk612       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk69        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk613       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk70        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk614       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk71        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk615       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk72        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk616       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk73        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk617       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk74        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk618       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk75        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk286       CONNECTION FAILURE
