==== This output can be found in Systems/dx978/os/errpt-d_H.txt ====
==== START errpt -d H Mon Jul  6 23:29:55 GST 2015 ====
516A2BC4   0508035115 P H hdisk496       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk464       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk278       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk309       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk497       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk310       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk499       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk311       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk501       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk312       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk502       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk313       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk503       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk314       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk504       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk315       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk505       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk316       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk506       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk317       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk507       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk318       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk508       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk319       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk509       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk320       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk460       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk275       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk479       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk510       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk321       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk511       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk322       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk323       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk512       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk324       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk513       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk523       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk273       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk325       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk514       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk326       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk515       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk296       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk516       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk327       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk517       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk328       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk518       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk329       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk519       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk331       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk520       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk332       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk521       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk333       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk522       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk334       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk525       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk335       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk526       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk336       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk527       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk337       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk471       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk338       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk528       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk340       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk483       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk279       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk458       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk341       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk545       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk731       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk524       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk531       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk300       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk362       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk532       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk529       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk342       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk457       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk272       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk343       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk533       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk330       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk534       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk339       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk535       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk346       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk536       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk347       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk537       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk348       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk459       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk349       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk461       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk350       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk538       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk351       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk465       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk280       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk462       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk463       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk274       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk466       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk276       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk467       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk277       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk469       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk281       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk470       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk344       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk472       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk285       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk473       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk287       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk530       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk345       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk539       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk352       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk353       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk733       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk474       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk288       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk475       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk289       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk540       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk354       CONNECTION FAILURE
