==== This output can be found in Systems/dx978/os/lscfg.txt ====
==== START lscfg Mon Jul  6 23:30:06 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk113         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L11000000000000  EMC Symmetrix FCP VRAID
* hdisk114         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L12000000000000  EMC Symmetrix FCP VRAID
* hdisk115         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L13000000000000  EMC Symmetrix FCP VRAID
* hdisk116         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L14000000000000  EMC Symmetrix FCP VRAID
* hdisk117         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L15000000000000  EMC Symmetrix FCP VRAID
* hdisk118         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L16000000000000  EMC Symmetrix FCP VRAID
* hdisk119         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L17000000000000  EMC Symmetrix FCP VRAID
* hdisk120         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L18000000000000  EMC Symmetrix FCP VRAID
* hdisk121         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L19000000000000  EMC Symmetrix FCP VRAID
* hdisk122         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L1A000000000000  EMC Symmetrix FCP VRAID
* hdisk123         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L1B000000000000  EMC Symmetrix FCP VRAID
* hdisk124         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L1C000000000000  EMC Symmetrix FCP VRAID
* hdisk125         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L1D000000000000  EMC Symmetrix FCP VRAID
* hdisk126         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L1E000000000000  EMC Symmetrix FCP VRAID
* hdisk127         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L1F000000000000  EMC Symmetrix FCP VRAID
* hdisk128         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L20000000000000  EMC Symmetrix FCP VRAID
