==== This output can be found in Systems/dx987/os/errpt.txt ====
==== START errpt Mon Jul  6 23:48:29 GST 2015 ====
516A2BC4   0508024315 P H hdisk4         CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk118       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk218       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk119       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk219       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk120       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk220       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk121       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk221       CONNECTION FAILURE
C62E1EB7   0508024315 P H hdisk12        DISK OPERATION ERROR
D5676F6F   0508024315 T H fscsi6         ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0508024315 T H fscsi3         ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508023715 I H hdisk16        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk316       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk17        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk317       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk18        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk318       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk19        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk319       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk20        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk320       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk21        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk321       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk22        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk322       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk23        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk323       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk24        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk324       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk25        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk325       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk26        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk326       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk27        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk327       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk8         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk14        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk28        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk328       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk29        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk329       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk30        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk330       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk31        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk331       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk32        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk332       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk33        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk333       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk34        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk334       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk36        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk336       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk37        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk337       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk38        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk338       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk39        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk339       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk40        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk340       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk41        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508023715 I H hdisk341       BACK-UP PATH STATUS CHANGE
