==== This output can be found in Systems/dx1011/storage/for_i_in_lspv_awk_print_1_do_echo_i,_Disk_size_get.txt ====
==== START for i in $(lspv | awk '{print $1}') ;do echo "$i, Disk size: $(getconf DISK_SIZE /dev/$i), Disk partition: $(getconf DISK_PARTITION /dev/$i), Disk location: $(getconf DISK_DEVNAME $i)"; done Tue Jul  7 13:40:41 CDT 2015 ====
hdisk727, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk728, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk729, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk730, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk731, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk732, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk733, Disk size: 1048590, Disk partition: 2048, Disk location: 0I-00-02
hdisk734, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk735, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk736, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk737, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk738, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk739, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk740, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk741, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk742, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk743, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk744, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk745, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk746, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk747, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk748, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk749, Disk size: 51202, Disk partition: 64, Disk location: 0I-00-02
hdisk750, Disk size: 51202, Disk partition: 64, Disk location: 0I-00-02
hdisk751, Disk size: 102405, Disk partition: 128, Disk location: 0I-00-02
hdisk752, Disk size: 51202, Disk partition: 64, Disk location: 0I-00-02
hdisk753, Disk size: 51202, Disk partition: 64, Disk location: 0I-00-02
hdisk754, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk755, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk756, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk757, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk758, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk759, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk760, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk761, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk762, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk763, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk764, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-01-02
hdisk765, Disk size: 1048590, Disk partition: 2048, Disk location: 0I-01-02
hdisk766, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk767, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk768, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk769, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk770, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk771, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk772, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk773, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk774, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
hdisk775, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-01-02
